timepoint,plant.group,plant.id,EG_METRIC_1,EG_METRIC_2,EG_METRIC_3,EG_METRIC_4,EG_METRIC_5,EG_METRIC_6
2021-09-02T09-00-00,G1,1,3.5362529617592,-0.0680998174601717,1.0611546572986,0.000279889175727035,3.46815314429903,0.695030074738441
2021-09-02T09-02-00,G1,1,3.55811657619508,0.0376769255755028,1.05316069219053,0.00108927955157664,3.59579350177059,0.724605098112
2021-09-02T09-04-00,G1,1,3.5573597845935,0.0668355091350391,1.08138349241516,0.00238462863733346,3.62419529372854,0.736762201932374
2021-09-02T09-06-00,G1,1,3.55453590798136,-0.0494816163092338,1.09158831075435,0.00215620147324746,3.50505429167213,0.711791865700663
2021-09-02T09-08-00,G1,1,3.54251782681425,0.015975377487805,1.08659423569642,0.00470049400080403,3.55849320430205,0.73520111086443
2021-09-02T09-10-00,G1,1,3.55090580966804,0.0591957699373422,1.06898458986049,0.00372346029437652,3.61010157960538,0.740637617392959
2021-09-02T09-12-00,G1,1,3.57101625039982,0.0209497718100479,1.09233455993005,0.0043634313012778,3.59196602220987,0.740210360948363
2021-09-02T09-14-00,G1,1,3.57108410832594,0.0310966561896845,1.0834973504175,0.00746244266302775,3.60218076451563,0.757748366218264
2021-09-02T09-16-00,G1,1,3.539892305143,0.0285361167193628,1.08276133167856,0.00823918310997063,3.56842842186236,0.754881599922325
2021-09-02T09-18-00,G1,1,3.53821341462586,0.165140981252237,1.08267423143273,0.0074608011313466,3.7033543958781,0.777974884832352
2021-09-02T09-20-00,G1,1,3.55789495422193,0.078487478736425,1.09009806076461,0.0102065601391937,3.63638243295836,0.77830928728764
2021-09-02T09-22-00,G1,1,3.5620559980937,0.0388860836342156,1.09663442048678,0.0117446736404933,3.60094208172791,0.778911784548049
2021-09-02T09-24-00,G1,1,3.55832388660713,0.0525601308977347,1.10819508289581,0.0144898736959231,3.61088401750487,0.794626171980589
2021-09-02T09-26-00,G1,1,3.55508258627113,0.0548453496685001,1.11583541075909,0.0106484356559852,3.60992793593963,0.775227765467852
2021-09-02T09-28-00,G1,1,3.56450244025174,0.0755138568881823,1.08677227585586,0.0147528710446179,3.64001629713992,0.801767614651074
2021-09-02T09-30-00,G1,1,3.56627518855754,0.121883160816328,1.11522394051829,0.0159051762398726,3.68815834937387,0.817157551074138
2021-09-02T09-32-00,G1,1,3.55151536512711,0.0629528680785594,1.10440928773738,0.0184888575296886,3.61446823320567,0.815337934289578
2021-09-02T09-34-00,G1,1,3.57113948713232,0.000120286164602301,1.1004997224938,0.0177817165070252,3.57125977329693,0.803160537194511
2021-09-02T09-36-00,G1,1,3.57077696212147,0.0707662891510915,1.12435166886969,0.0189741445777715,3.64154325127257,0.823179373143371
2021-09-02T09-38-00,G1,1,3.59022152398566,0.165841861362092,1.12381314028779,0.0187302170342062,3.75606338534775,0.844863762240581
2021-09-02T09-40-00,G1,1,3.56880660158664,0.0600942846226603,1.11022463888109,0.0197032133783701,3.6289008862093,0.82429624413371
2021-09-02T09-42-00,G1,1,3.56668108820098,0.16234162654213,1.12879457877809,0.0214176929550969,3.72902271474311,0.852893007724106
